,nom_commune,dummy,cat_commune
763,94Villecresnes,1,1
764,94Villejuif,1,1
765,94Villeneuve-Saint-Georges,1,1
766,94Villeneuve-le-Roi,1,1
767,94Villiers-sur-Marne,1,1
768,94Vincennes,1,0
769,94Vitry-sur-Seine,1,1
770,95Ableiges,1,0
771,95Aincourt,1,1
772,95Ambleville,1,1
773,95Amenucourt,1,1
774,95Andilly,1,1
775,95Argenteuil,1,1
776,95Arnouville,1,1
777,95Asnières-sur-Oise,1,1
778,95Attainville,1,1
779,95Auvers-sur-Oise,1,1
780,95Avernes,1,2
781,95Baillet-en-France,1,1
782,95Beauchamp,1,1
783,95Beaumont-sur-Oise,1,1
784,95Bellefontaine,1,1
785,95Belloy-en-France,1,1
786,95Bernes-sur-Oise,1,0
787,95Bessancourt,1,1
788,95Bezons,1,1
789,95Boisemont,1,1
790,95Boissy-l'Aillerie,1,1
791,95Bonneuil-en-France,1,1
792,95Bouffémont,1,1
793,95Bouqueval,1,0
794,95Bray-et-Lû,1,0
795,95Brignancourt,1,1
796,95Bruyères-sur-Oise,1,1
797,95Butry-sur-Oise,1,1
798,95Cergy,1,1
799,95Champagne-sur-Oise,1,1
800,95Chars,1,1
801,95Chaumontel,1,1
802,95Chaussy,1,1
803,95Commeny,1,1
804,95Condécourt,1,1
805,95Cormeilles-en-Parisis,1,1
806,95Cormeilles-en-Vexin,1,1
807,95Courcelles-sur-Viosne,1,1
808,95Courdimanche,1,1
809,95Deuil-la-Barre,1,1
810,95Domont,1,1
811,95Eaubonne,1,1
812,95Enghien-les-Bains,1,1
813,95Ennery,1,1
814,95Ermont,1,1
815,95Fontenay-en-Parisis,1,1
816,95Fosses,1,1
817,95Franconville,1,1
818,95Frouville,1,0
819,95Frémainville,1,1
820,95Frémécourt,1,1
821,95Frépillon,1,1
822,95Garges-lès-Gonesse,1,1
823,95Genainville,1,1
824,95Gonesse,1,1
825,95Goussainville,1,1
826,95Groslay,1,1
827,95Génicourt,1,1
828,95Haute-Isle,1,2
829,95Herblay-sur-Seine,1,1
830,95Hérouville-en-Vexin,1,1
831,95Jouy-le-Moutier,1,1
832,95L'Isle-Adam,1,1
833,95La Frette-sur-Seine,1,1
834,95La Roche-Guyon,1,1
835,95Labbeville,1,1
836,95Lassy,1,0
837,95Le Bellay-en-Vexin,1,1
838,95Le Heaulme,1,1
839,95Le Mesnil-Aubry,1,1
840,95Le Perchay,1,1
841,95Le Plessis-Bouchard,1,1
842,95Le Thillay,1,1
843,95Livilliers,1,1
844,95Longuesse,1,0
845,95Louvres,1,1
846,95Luzarches,1,1
847,95Maffliers,1,1
848,95Magny-en-Vexin,1,1
849,95Mareil-en-France,1,0
850,95Margency,1,1
851,95Marines,1,1
852,95Marly-la-Ville,1,1
853,95Menucourt,1,1
854,95Moisselles,1,1
855,95Montigny-lès-Cormeilles,1,1
856,95Montlignon,1,1
857,95Montmagny,1,1
858,95Montmorency,1,1
